jan.kingdom_matrix.country,jan.kingdom_matrix.kingdom,jan.kingdom_matrix._c2,jan.kingdom_matrix.increase
GU,Protozoa,54,8.0
GW,Animalia,13429,25.0
GW,Chromista,63,7.0
GW,Fungi,12,0.0
GW,Plantae,6361,80.0
GW,Protozoa,1850,0.0
GY,Animalia,165528,25.0
GY,Bacteria,22,47.0
GY,Chromista,23,44.0
GY,Fungi,6250,19.0
GY,Plantae,110030,58.0
GY,Protozoa,269,0.0
HK,Animalia,31464,86.0
HK,Bacteria,264,1660.0
HK,Chromista,24,1100.0
HK,Fungi,925,2.0
HK,Plantae,133864,4545.0
HK,Protozoa,6,No prior occurrences
HM,Animalia,76556,1.0
HM,Chromista,6427,0.0
HM,Fungi,2,0.0
HM,Plantae,910,1.0
HM,Protozoa,18032,0.0
HN,Animalia,347165,35.0
HN,Bacteria,255,5.0
HN,Chromista,32,3.0
HN,Fungi,1568,4.0
HN,Plantae,68867,10.0
HN,Protozoa,188,58.0
HR,Animalia,39090,45.0
HR,Bacteria,298,10.0
HR,Chromista,646,220.0
HR,Fungi,2292,54.0
HR,Plantae,18378,82.0
HR,Protozoa,1588,0.0
HR,Viruses,1,0.0
HT,Animalia,87318,13.0
HT,Bacteria,69,11.0
HT,Chromista,307,7.0
HT,Fungi,1649,605.0
HT,Plantae,40416,51.0
HT,Protozoa,5329,0.0
HU,Animalia,61216,46.0
HU,Bacteria,5080,2.0
HU,Chromista,272,86.0
HU,Fungi,5736,76.0
HU,Plantae,47512,26.0
HU,Protozoa,463,112.0
HU,Viruses,20,0.0
ID,Animalia,633032,24.0
ID,Archaea,9,0.0
ID,Bacteria,861,46.0
ID,Chromista,6544,15.0
ID,Fungi,6229,53.0
ID,Plantae,792234,237.0
ID,Protozoa,28425,5.0
ID,Viruses,2,0.0
IE,Animalia,1933700,7.0
IE,Bacteria,1311,6.0
IE,Chromista,98717,1.0
IE,Fungi,94792,1.0
IE,Plantae,2471779,11.0
IE,Protozoa,113355,0.0
IE,Viruses,2,0.0
IL,Animalia,363925,68.0
IL,Archaea,173,0.0
IL,Bacteria,13499,8.0
IL,Chromista,781,7.0
IL,Fungi,1278,2.0
IL,Plantae,489624,79.0
IL,Protozoa,2947,9.0
IL,Viruses,4,0.0
IM,Animalia,696,43.0
IM,Chromista,46,44.0
IM,Fungi,2,100.0
IM,Plantae,72,800.0
IM,Protozoa,53,2.0
IN,Animalia,480703,68.0
IN,Archaea,6,0.0
IN,Bacteria,29258,67.0
IN,Chromista,1600,13.0
IN,Fungi,52042,6.0
IN,Plantae,305411,37.0
IN,Protozoa,13309,7.0
IN,Viruses,17,70.0
IO,Animalia,21790,49.0
IO,Bacteria,61,0.0
IO,Chromista,2388,0.0
IO,Fungi,28,4.0
IO,Plantae,673,12.0
IO,Protozoa,5105,0.0
IQ,Animalia,9922,27.0
IQ,Bacteria,44,91.0
IQ,Chromista,15,50.0
IQ,Fungi,1313,3.0
IQ,Plantae,14693,17.0
IQ,Protozoa,958,5888.0
IR,Animalia,81801,71.0
IR,Archaea,2,No prior occurrences
IR,Bacteria,399,171.0
IR,Chromista,1002,2.0
IR,Fungi,5443,53.0
IR,Plantae,83927,12.0
IR,Protozoa,6055,11.0
IR,Viruses,21,0.0
IS,Animalia,297632,32.0
IS,Archaea,37,3.0
IS,Bacteria,112,6.0
IS,Chromista,28130,1.0
IS,Fungi,54573,3.0
IS,Plantae,434923,1.0
IS,Protozoa,50304,0.0
IT,Animalia,354191,25.0
IT,Archaea,83,4.0
IT,Bacteria,4325,199.0
IT,Chromista,17749,8.0
IT,Fungi,46410,34.0
IT,Plantae,166563,54.0
IT,Protozoa,74733,4.0
IT,Viruses,108,0.0
JE,Animalia,3407,15.0
JE,Bacteria,2,No prior occurrences
JE,Chromista,149,2.0
JE,Fungi,66,136.0
JE,Plantae,211,21.0
JM,Animalia,196321,38.0
JM,Bacteria,594,6.0
JM,Chromista,605,14.0
JM,Fungi,6702,119.0
JM,Plantae,60145,68.0
JM,Protozoa,5307,4.0
JO,Animalia,10935,72.0
JO,Archaea,81,0.0
JO,Bacteria,328,3.0
JO,Chromista,36,100.0
JO,Fungi,87,1.0
JO,Plantae,16014,23.0
JO,Protozoa,343,4188.0
JO,Viruses,1,0.0
JP,Animalia,1999738,5.0
JP,Archaea,427,0.0
JP,Bacteria,14763,8.0
JP,Chromista,145915,1.0
JP,Fungi,86750,10.0
JP,Plantae,1437092,5.0
JP,Protozoa,96197,3.0
JP,Viruses,26,30.0
KE,Animalia,375482,43.0
KE,Archaea,19,27.0
KE,Bacteria,322,53.0
KE,Chromista,243,40.0
KE,Fungi,8002,15.0
KE,Plantae,59658,35.0
KE,Protozoa,5578,13.0
KE,Viruses,8,0.0
KG,Animalia,37478,6.0
KG,Bacteria,2,0.0
KG,Fungi,45,67.0
KG,Plantae,5422,42.0
KG,Protozoa,2,No prior occurrences
KH,Animalia,31103,78.0
KH,Bacteria,13,86.0
KH,Chromista,4,100.0
KH,Fungi,45,29.0
KH,Plantae,12941,68.0
KH,Protozoa,1,0.0
KI,Animalia,23714,7.0
KI,Archaea,33,0.0
KI,Bacteria,1279,0.0
KI,Chromista,34,10.0
KI,Fungi,104,1.0
KI,Plantae,755,49.0
KI,Protozoa,983,1.0
KM,Animalia,28417,5.0
KM,Bacteria,6,200.0
KM,Chromista,2,0.0
KM,Fungi,30,36.0
KM,Plantae,10543,13.0
KM,Protozoa,288,5.0
KN,Animalia,8451,18.0
KN,Bacteria,2,No prior occurrences
KN,Chromista,9,No prior occurrences
KN,Fungi,40,18.0
